time,layer,p025,p10,p25,p50,p75,p90,p975
t0,c0,4.836177109205135,5.246357602382755,5.642806022277704,6.118519977245689,6.634338760566418,7.135671936459693,7.740884146012499
t0,c1,5.169273754175853,5.607705848364908,6.031460058678409,6.539939298868057,7.09128562848356,7.62714863964377,8.274045459157126
t0,c2,5.1631206159843455,5.601030831590174,6.024280634836205,6.532154617269892,7.082844663175375,7.618069820873726,8.264196620125938
t0,c3,5.331384433722659,5.783565949610788,6.22060927678316,6.745034647722026,7.313671438707931,7.866339347618619,8.533523133540609
t0,c4,4.547171296337273,5.0685325307276,5.58554060803735,6.222050932397062,6.931095935393524,7.63809200604769,8.513846363458324
t0,c5,10.736526646517227,11.647145446333454,12.527278437342002,13.583384414915125,14.72852488161886,15.841506660453247,17.185104479129752
t0,c6,5.188203344330535,5.6282409522239,6.053546926655343,6.563888189263746,7.117253518171845,7.655078829582085,8.304344548915436
t0,c7,4.788932230211003,5.159980686408726,5.516312634459784,5.9411547010453125,6.3987162296158555,6.840591336848444,7.37060319189307
t0,c8,0.9575508181119332,1.0819205515948405,1.2068442283036334,1.3626305124365923,1.5385265719281063,1.7161721446978608,1.9390740191568225
t1,c0,4.897089859302661,5.312436669038096,5.713878446906154,6.1955841272809105,6.717899765438536,7.225547346650148,7.8383823415650316
t1,c1,5.224028616934417,5.667104746298989,6.095347518204017,6.609212758891253,7.16639915309729,7.707938223802567,8.361687214095772
t1,c2,5.213145625493633,5.6552987136428765,6.082649346020545,6.595444073617944,7.1514697056605785,7.691880611590451,8.344267675066732
t1,c3,5.359934517937707,5.814537509995785,6.253921246859395,6.781154966866113,7.35283686339116,7.908464362918231,8.579220983159667
t1,c4,4.553457486116837,5.0755394709362776,5.593262280698302,6.230652542151829,6.940677757056006,7.64865120709263,8.525616242028297
t1,c5,10.706674292285673,11.614761163865051,12.492446990843414,13.545616520644687,14.68757298380776,15.797460174661422,17.137322189446373
t1,c6,5.157094258912817,5.594493348879563,6.017249138013873,6.52453033360543,7.07457761806891,7.609178064831017,8.254550709552397
t1,c7,4.765242845878706,5.134455838749277,5.489025121541887,5.911765624248022,6.367063735759205,6.8067530218653065,7.334143070225007
t1,c8,0.9545509231725142,1.078531020797945,1.203063326209796,1.3583615500993071,1.5337065477685643,1.7107955776951795,1.9329991266005222
t2,c0,4.957847840014396,5.378347839537975,5.784770288069093,6.272452469851383,6.801248455394984,7.31519439804855,7.9356328100683475
t2,c1,5.276469880077457,5.723993816603171,6.156535491431083,6.675559153766239,7.238338847791415,7.785314143102552,8.445625774097673
t2,c2,5.258294388095505,5.70427676977396,6.135328498118453,6.6525643154307765,7.213405441047748,7.758496608273216,8.416533709321703
t2,c3,5.382559903700152,5.839081868467626,6.280320334434924,6.809779616388752,7.383874699753862,7.941847617210005,8.615435639073025
t2,c4,4.555467889187709,5.077780379118645,5.595731769366988,6.233403445842589,6.9437421449237435,7.65202817325991,8.52938039819453
t2,c5,10.666078160001911,11.57072186951645,12.44507980503544,13.49425606779768,14.631882613530253,15.737561482921068,17.07234318853537
t2,c6,5.122466971571904,5.556929147220135,5.976846344416729,6.480721402590489,7.027075396915382,7.55808627126457,8.199125564123687
t2,c7,4.740478764612971,5.107773026192077,5.460499678332399,5.881043277228608,6.333975289088993,6.771379591708426,7.296028892022596
t2,c8,0.9515771210406665,1.0751709718251223,1.1993153100512237,1.3541297187999566,1.5289284477315077,1.7054657755729452,1.926977072895478
t3,c0,5.017847789275334,5.443436686128922,5.854777665255828,6.348361784150072,6.883557266678217,7.403722990873523,8.031669957903876
t3,c1,5.32603908763455,5.777767237848694,6.214372377179188,6.738271949399184,7.306338614466759,7.8584524081599785,8.524967263097064
t3,c2,5.2980366098828195,5.747389729184109,6.181699349180399,6.70284443802657,7.267924404369573,7.817135374037297,8.48014592360045
t3,c3,5.3990421299291125,5.85696203516291,6.299551641172698,6.830632208875374,7.406485259677956,7.966166776020072,8.641817427999635
t3,c4,4.553264942539397,5.075324851050148,5.593025768831797,6.230389078150262,6.940384269540358,7.64832778282206,8.525255735170349
t3,c5,10.615513090819997,11.515868122615284,12.386080957298145,13.430283351548006,14.562516709257274,15.662953846149504,16.991407703019906
t3,c6,5.084870945219644,5.516144412869291,5.932979654028066,6.433156552687967,6.975500616000655,7.502614169208263,8.138948594221297
